artifact_id,day,artifact_type,path,exists,nonempty,required_for_final_package,status,reason
D28-C01,Day 28,config,configs/validation/day28_figure_table_generation.yaml,true,true,true,pass,Day28 config
D28-S01,Day 28,script,scripts/21_day28_figure_table_generation.py,true,true,true,pass,Day28 executable script
D28-R01,Day 28,report,reports/day28_figure_table_generation_report.md,true,true,true,pass,Day28 report
D28-M01,Day 28,manifest,results/day30/manifests/day28_figure_table_generation_manifest.json,true,true,true,pass,Day28 manifest
D29-C01,Day 29,config,configs/validation/day29_safe_figures.yaml,true,true,true,pass,Day29 config
D29-S01,Day 29,script,scripts/22_day29_safe_figures.py,true,true,true,pass,Day29 executable script
D29-R01,Day 29,report,reports/day29_safe_figures_report.md,true,true,true,pass,Day29 report
D29-M01,Day 29,manifest,results/day30/manifests/day29_safe_figures_manifest.json,true,true,true,pass,Day29 manifest
README,General,readme,README.md,true,true,true,pass,README scope and reproduction commands
PAPER-SKEL,Day 26,paper_doc,docs/paper/diagnostic_benchmark_paper_skeleton.md,true,true,true,pass,paper skeleton
PAPER-TABLES,Day 28,paper_doc,docs/paper/generated_tables/T01_day17_unbiased_probe_summary.md,true,true,true,pass,generated paper table
PAPER-FIG-F01,Day 29,figure,docs/paper/figures/F01_benchmark_geometry_overview.png,true,true,true,pass,real F01 figure
PAPER-FIG-F03,Day 29,figure,docs/paper/figures/F03_bias_audit_legacy_vs_unbiased.png,true,true,true,pass,real F03 figure
RELEASE-SCOPE,Day 27,release_doc,docs/release/release_scope.md,true,true,true,pass,release scope
RELEASE-CLEAN,Day 27,release_doc,docs/release/release_cleanup_policy.md,true,true,true,pass,release cleanup policy
RELEASE-CMDS,Day 27,release_doc,docs/release/release_reproducibility_commands.md,true,true,true,pass,release commands
D22-T01,Day 22,table,results/day30/tables/day22_evidence_matrix.csv,true,true,true,pass,Day22 main table
D22-T02,Day 22,table,results/day30/tables/day22_gate_decision.csv,true,true,true,pass,Day22 main table
D22-T03,Day 22,table,results/day30/tables/day22_claim_status.csv,true,true,true,pass,Day22 main table
D22-T04,Day 22,table,results/day30/tables/day22_next_action_plan.csv,true,true,true,pass,Day22 main table
D23-T01,Day 23,table,results/day30/tables/day23_failure_taxonomy.csv,true,true,true,pass,Day23 main table
D23-T02,Day 23,table,results/day30/tables/day23_claim_consolidation.csv,true,true,true,pass,Day23 main table
D23-T03,Day 23,table,results/day30/tables/day23_metric_redesign_candidates.csv,true,true,true,pass,Day23 main table
D23-T04,Day 23,table,results/day30/tables/day23_diagnostic_benchmark_route.csv,true,true,true,pass,Day23 main table
D23-T05,Day 23,table,results/day30/tables/day23_day24_recommendation.csv,true,true,true,pass,Day23 main table
D24-T01,Day 24,table,results/day30/tables/day24_artifact_inventory.csv,true,true,true,pass,Day24 main table
D24-T02,Day 24,table,results/day30/tables/day24_benchmark_protocol.csv,true,true,true,pass,Day24 main table
D24-T03,Day 24,table,results/day30/tables/day24_paper_claim_map.csv,true,true,true,pass,Day24 main table
D24-T04,Day 24,table,results/day30/tables/day24_reviewer_risk_register.csv,true,true,true,pass,Day24 main table
D24-T05,Day 24,table,results/day30/tables/day24_release_checklist.csv,true,true,true,pass,Day24 main table
D24-T06,Day 24,table,results/day30/tables/day24_day25_recommendation.csv,true,true,true,pass,Day24 main table
D25-T01,Day 25,table,results/day30/tables/day25_title_positioning_candidates.csv,true,true,true,pass,Day25 main table
D25-T02,Day 25,table,results/day30/tables/day25_contribution_map.csv,true,true,true,pass,Day25 main table
D25-T03,Day 25,table,results/day30/tables/day25_section_outline.csv,true,true,true,pass,Day25 main table
D25-T04,Day 25,table,results/day30/tables/day25_figure_table_plan.csv,true,true,true,pass,Day25 main table
D25-T05,Day 25,table,results/day30/tables/day25_experiment_storyline.csv,true,true,true,pass,Day25 main table
D25-T06,Day 25,table,results/day30/tables/day25_claim_boundary_for_paper.csv,true,true,true,pass,Day25 main table
D25-T07,Day 25,table,results/day30/tables/day25_reproducibility_plan.csv,true,true,true,pass,Day25 main table
D25-T08,Day 25,table,results/day30/tables/day25_reviewer_response_plan.csv,true,true,true,pass,Day25 main table
D25-T09,Day 25,table,results/day30/tables/day25_day26_recommendation.csv,true,true,true,pass,Day25 main table
D26-T01,Day 26,table,results/day30/tables/day26_section_writing_tasks.csv,true,true,true,pass,Day26 main table
D26-T02,Day 26,table,results/day30/tables/day26_figure_table_execution_plan.csv,true,true,true,pass,Day26 main table
D26-T03,Day 26,table,results/day30/tables/day26_readme_scope_update_plan.csv,true,true,true,pass,Day26 main table
D26-T04,Day 26,table,results/day30/tables/day26_release_cleanup_plan.csv,true,true,true,pass,Day26 main table
D26-T05,Day 26,table,results/day30/tables/day26_day27_recommendation.csv,true,true,true,pass,Day26 main table
D27-T01,Day 27,table,results/day30/tables/day27_readme_scope_audit.csv,true,true,true,pass,Day27 main table
D27-T02,Day 27,table,results/day30/tables/day27_forbidden_claims_audit.csv,true,true,true,pass,Day27 main table
D27-T03,Day 27,table,results/day30/tables/day27_release_forbidden_paths_audit.csv,true,true,true,pass,Day27 main table
D27-T04,Day 27,table,results/day30/tables/day27_release_file_policy.csv,true,true,true,pass,Day27 main table
D27-T05,Day 27,table,results/day30/tables/day27_safe_archive_plan.csv,true,true,true,pass,Day27 main table
D27-T06,Day 27,table,results/day30/tables/day27_figure_table_readiness.csv,true,true,true,pass,Day27 main table
D27-T07,Day 27,table,results/day30/tables/day27_day28_recommendation.csv,true,true,true,pass,Day27 main table
D28-T01,Day 28,table,results/day30/tables/day28_generated_table_inventory.csv,true,true,true,pass,Day28 main table
D28-T02,Day 28,table,results/day30/tables/day28_pending_figure_plan.csv,true,true,true,pass,Day28 main table
D28-T03,Day 28,table,results/day30/tables/day28_caption_bank.csv,true,true,true,pass,Day28 main table
D28-T04,Day 28,table,results/day30/tables/day28_day29_recommendation.csv,true,true,true,pass,Day28 main table
D29-T01,Day 29,table,results/day30/tables/day29_generated_figure_inventory.csv,true,true,true,pass,Day29 main table
D29-T02,Day 29,table,results/day30/tables/day29_table_safety_notes.csv,true,true,true,pass,Day29 main table
D29-T03,Day 29,table,results/day30/tables/day29_caption_safety_audit.csv,true,true,true,pass,Day29 main table
D29-T04,Day 29,table,results/day30/tables/day29_day30_recommendation.csv,true,true,true,pass,Day29 main table
