feature_name,target_name,scope,sequence_id,scene_family,spearman_rho,abs_spearman_rho,n_samples,expected_sign,observed_sign,expected_sign_match,effect_size_threshold,passes_effect_size,validity_status,interpretation
risk_low_lambda,axis_drift_rate,merged,ALL,ALL,0.11401409206,0.11401409206,3440,positive,positive,true,0.1,true,substantive_candidate,risk_low_lambda has signed effect-size support; controlled screen still required
risk_low_lambda,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,-0.02296580028,0.02296580028,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_lambda,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,0.0160667576162,0.0160667576162,740,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_lambda,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,nan,nan,980,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_low_lambda,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.00852981040715,0.00852981040715,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,axis_drift_rate,merged,ALL,ALL,0.0565772182048,0.0565772182048,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,-0.0158025059429,0.0158025059429,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,0.0133060567464,0.0133060567464,740,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0796400157518,0.0796400157518,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0772537388783,0.0772537388783,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_weak_alignment,axis_drift_rate,merged,ALL,ALL,nan,nan,2700,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_weak_alignment,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,nan,nan,820,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_weak_alignment,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
risk_weak_alignment,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,nan,nan,980,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_weak_alignment,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,nan,nan,900,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_low_motion,axis_drift_rate,merged,ALL,ALL,-0.0896385957903,0.0896385957903,3440,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_motion,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.00436073331285,0.00436073331285,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_motion,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,0.147623405465,0.147623405465,740,positive,positive,true,0.1,true,substantive_candidate,risk_low_motion has signed effect-size support; controlled screen still required
risk_low_motion,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,0.0461072297806,0.0461072297806,980,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_motion,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,0.0239483154011,0.0239483154011,900,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,axis_drift_rate,merged,ALL,ALL,0.0738611703933,0.0738611703933,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.0168038100186,0.0168038100186,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,-0.0913420921782,0.0913420921782,740,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0637348433502,0.0637348433502,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0768312812213,0.0768312812213,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,axis_drift_rate,merged,ALL,ALL,0.0664864467867,0.0664864467867,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.0110721087358,0.0110721087358,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,-0.0803453889468,0.0803453889468,740,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0690529035543,0.0690529035543,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0842098823169,0.0842098823169,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,axis_drift_rate,merged,ALL,ALL,0.0737996326715,0.0737996326715,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.00697044600982,0.00697044600982,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,-0.041565653675,0.041565653675,740,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0738572562237,0.0738572562237,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0701775641202,0.0701775641202,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,axis_drift_rate,merged,ALL,ALL,0.0804736394053,0.0804736394053,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.0167034593009,0.0167034593009,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,-0.151854299271,0.151854299271,740,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0608222471909,0.0608222471909,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0707455416374,0.0707455416374,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,axis_drift_rate,merged,ALL,ALL,0.0686898788293,0.0686898788293,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.00768359409912,0.00768359409912,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,0.0220430649293,0.0220430649293,740,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0706876796993,0.0706876796993,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.068034757652,0.068034757652,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,axis_drift_rate,merged,ALL,ALL,0.0712767129717,0.0712767129717,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.0135516929254,0.0135516929254,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,-0.0255704412397,0.0255704412397,740,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0616334927626,0.0616334927626,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0753946869534,0.0753946869534,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,weak_drift_alignment,merged,ALL,ALL,0.0613436291896,0.0613436291896,2700,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0471354326471,0.0471354326471,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
risk_ODI,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,-0.0141534566552,0.0141534566552,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.111195961142,0.111195961142,900,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,weak_drift_alignment,merged,ALL,ALL,0.160268151908,0.160268151908,2700,positive,positive,true,0.1,true,substantive_candidate,risk_low_AIS has signed effect-size support; controlled screen still required
risk_low_AIS,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0654264333395,0.0654264333395,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
risk_low_AIS,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,-0.0299863704167,0.0299863704167,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.101839885442,0.101839885442,900,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_lambda,weak_drift_alignment,merged,ALL,ALL,0.14854981487,0.14854981487,2700,positive,positive,true,0.1,true,substantive_candidate,risk_low_lambda has signed effect-size support; controlled screen still required
risk_low_lambda,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0644882839229,0.0644882839229,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_lambda,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
risk_low_lambda,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,nan,nan,980,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_low_lambda,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,0.0926964090164,0.0926964090164,900,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,weak_drift_alignment,merged,ALL,ALL,-0.0215005523568,0.0215005523568,2700,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0336443961096,0.0336443961096,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
risk_high_condition,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,0.0502028781828,0.0502028781828,980,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_high_condition,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.0877683613278,0.0877683613278,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_weak_alignment,weak_drift_alignment,merged,ALL,ALL,nan,nan,2700,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_weak_alignment,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,nan,nan,820,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_weak_alignment,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
risk_weak_alignment,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,nan,nan,980,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_weak_alignment,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,nan,nan,900,positive,undefined,undefined,0.1,false,undefined_constant_feature_or_target,undefined or insufficient feature-target variation
risk_low_motion,weak_drift_alignment,merged,ALL,ALL,-0.238185723835,0.238185723835,2700,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_motion,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,1.0466283265e-05,1.0466283265e-05,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_motion,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
risk_low_motion,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,-0.103344947813,0.103344947813,980,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_motion,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.0987401080401,0.0987401080401,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,weak_drift_alignment,merged,ALL,ALL,0.0911629934282,0.0911629934282,2700,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0459541294271,0.0459541294271,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
joint_risk_equal,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,-0.00703292992213,0.00703292992213,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_equal,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.0894013163942,0.0894013163942,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,weak_drift_alignment,merged,ALL,ALL,0.051736727616,0.051736727616,2700,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0355319418382,0.0355319418382,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
joint_risk_spectral,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,0.0123838948106,0.0123838948106,980,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_spectral,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.0940096486487,0.0940096486487,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,weak_drift_alignment,merged,ALL,ALL,0.111834197783,0.111834197783,2700,positive,positive,true,0.1,true,substantive_candidate,joint_risk_information has signed effect-size support; controlled screen still required
joint_risk_information,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0490674547869,0.0490674547869,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
joint_risk_information,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,0.0237881785735,0.0237881785735,980,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_information,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.0758246442704,0.0758246442704,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,weak_drift_alignment,merged,ALL,ALL,0.120149086961,0.120149086961,2700,positive,positive,true,0.1,true,substantive_candidate,joint_risk_odi_information has signed effect-size support; controlled screen still required
joint_risk_odi_information,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0583187110606,0.0583187110606,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
joint_risk_odi_information,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,-0.0243626189407,0.0243626189407,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_odi_information,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.106297645641,0.106297645641,900,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,weak_drift_alignment,merged,ALL,ALL,-0.00315586978802,0.00315586978802,2700,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0557067103633,0.0557067103633,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
joint_risk_no_odi,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,0.0227219599956,0.0227219599956,980,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_no_odi,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.0831670770086,0.0831670770086,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,weak_drift_alignment,merged,ALL,ALL,0.0203360306457,0.0203360306457,2700,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,weak_drift_alignment,within_sequence,CT-L2-S01-M2,CT,-0.0568943778807,0.0568943778807,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,weak_drift_alignment,within_sequence,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,undefined or insufficient feature-target variation
joint_risk_motion_aware,weak_drift_alignment,within_sequence,RT-L4-S01-M1,RT,-0.00807381282994,0.00807381282994,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
joint_risk_motion_aware,weak_drift_alignment,within_sequence,ST-L3-S01-M1,ST,-0.0950011358206,0.0950011358206,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
