source_id,dataset_id,source_type,title,url,source_checked_date,fields_supported,evidence_quality,access_result,notes
S011,newer_college_multicam,formal_paper,Multi-Camera LiDAR Inertial Extension,https://arxiv.org/abs/2112.08854,2026-07-15,"hardware synchronization; 10 Hz 6DoF GT; scenes",HIGH,ACCESSIBLE,"Formal extension manuscript."
S012,ntu_viral,official_repository,NTU VIRAL official repository and site,https://github.com/ntu-aris/ntu_viral_dataset,2026-07-15,"downloads; sequences; jitter notice; license; GT",HIGH,ACCESSIBLE,"Official site records an Ouster/IMU jitter correction script."
S013,ntu_viral,official_documentation,NTU VIRAL sensors and usage,https://github.com/ntu-aris/ntu_viral_dataset/blob/gh-pages/sensors_and_usage.md,2026-07-15,"topics; rates; PointCloud2 fields; GT topic",HIGH,ACCESSIBLE,"Explicit t and ring fields."
S014,ntu_viral,official_documentation,NTU VIRAL evaluation tutorial,https://ntu-aris.github.io/ntu_viral_dataset/evaluation_tutorial.html,2026-07-15,"GT limitations; ATE evaluation; prism offset",HIGH,ACCESSIBLE,"No orientation GT; estimate must be transformed to prism."
S015,ntu_viral,formal_paper,NTU VIRAL IJRR paper,https://doi.org/10.1177/02783649211052312,2026-07-15,"platform; calibration; high-accuracy reference",HIGH,ACCESSIBLE,"Peer-reviewed IJRR record."
S016,m2dgr,official_repository,M2DGR official repository,https://github.com/SJTU-ViSYS/M2DGR,2026-07-15,"license; sensors; topics; sequence table; downloads; GT",HIGH,ACCESSIBLE,"Official page warns OneDrive may be unstable."
S017,m2dgr,formal_paper,M2DGR dataset paper,https://arxiv.org/abs/2112.13659,2026-07-15,"synchronization; calibration; 36 sequences; GT",HIGH,ACCESSIBLE,"RA-L/ICRA dataset paper."
S018,mulran,official_dataset_page,MulRan official site,https://sites.google.com/view/mulran-pr/home,2026-07-15,"scope; sequence families; IMU/GPS release",HIGH,ACCESSIBLE,"Official SNU RPM site."
S019,mulran,official_download_page,MulRan download page,https://sites.google.com/view/mulran-pr/download,2026-07-15,"download; format; baseline; LiDAR extrinsic; sample limitations",HIGH,ACCESSIBLE,"Small sample explicitly has no IMU/GPS."
S020,mulran,official_repository,MulRan official file player,https://github.com/RPM-Robotics-Lab/file_player_mulran,2026-07-15,"IMU/GPS; equivalent extrinsic source; ring synthesis; conversion",HIGH,ACCESSIBLE,"Current bag save support is incomplete for combined LiDAR/IMU/GPS."
S021,mulran,official_license_page,MulRan citation and copyright,https://sites.google.com/view/mulran-pr/citation,2026-07-15,"license; citation",HIGH,ACCESSIBLE,"CC BY-NC-SA 4.0."
S022,mulran,formal_paper,MulRan ICRA paper,https://gisbi-kim.github.io/publications/gkim-2020-icra.pdf,2026-07-15,"OS1-64; 10 Hz; original dataset design",HIGH,ACCESSIBLE,"Formal paper predates the later IMU/GPS release."
S023,helipr,official_dataset_page,HeLiPR official site,https://sites.google.com/view/heliprdataset,2026-07-15,"scope; revisions; sensors",HIGH,ACCESSIBLE,"Official SNU RPM site."
S024,helipr,official_documentation,HeLiPR system page,https://sites.google.com/view/heliprdataset/system,2026-07-15,"formats; IMU; GT; extrinsics; sensor rates",HIGH,ACCESSIBLE,"Documents asynchronous 10 Hz LiDAR acquisition."
S025,helipr,official_documentation,HeLiPR sequence page,https://sites.google.com/view/heliprdataset/sequence,2026-07-15,"sequence names; sizes; environments; IMU exception",HIGH,ACCESSIBLE,"Sequence04 in added long-term groups lacks IMU."
S026,helipr,official_download_page,HeLiPR download page,https://sites.google.com/view/heliprdataset/download,2026-07-15,"registration; sample; calibration bags; GT",HIGH,ACCESSIBLE,"One-minute sample is available after request."
S027,helipr,official_license_page,HeLiPR contact and copyright,https://sites.google.com/view/heliprdataset/contact,2026-07-15,"license; citation",HIGH,ACCESSIBLE,"CC BY-NC-SA 4.0."
S028,helipr,formal_paper,HeLiPR IJRR paper,https://doi.org/10.1177/02783649241242136,2026-07-15,"dataset purpose; heterogeneous LiDAR",HIGH,ACCESSIBLE,"Peer-reviewed IJRR record."
S029,tiers_enhanced,official_repository,TIERS enhanced official repository,https://github.com/TIERS/tiers-lidars-dataset-enhanced,2026-07-15,"license; sensors; topics; sequences; downloads; GT; offset",HIGH,ACCESSIBLE,"Official repository lists all main sequence links."
S030,tiers_enhanced,formal_paper,TIERS enhanced benchmark paper,https://arxiv.org/abs/2210.00812,2026-07-15,"GT provenance; benchmark; scenes",HIGH,ACCESSIBLE,"Indoor GT includes SLAM-assisted ICP."
S031,mun_frl,official_documentation,MUN-FRL official documentation,https://mun-frl-vil-dataset.readthedocs.io/en/latest/,2026-07-15,"license; sensors; sync; rates; downloads; sample bags; FAST-LIO2 link",HIGH,ACCESSIBLE,"Dataset license updated to CC BY 4.0 in March 2026."
S032,mun_frl,formal_paper,MUN-FRL IJRR paper,https://doi.org/10.1177/02783649241238358,2026-07-15,"calibration; timing; topics; GT; FAST-LIO2 evaluation; limitations",HIGH,ACCESSIBLE,"Paper distinguishes raw and synchronized bags."
