formula_id,paragraph_id,section,flattened_omml_text,recognized_variables,preceding_paragraph_preview,following_paragraph_preview,omml_element,omml_xml_bytes,omml_xml_sha256,parse_status
M011,P063,2.2.1 系统组成、坐标系和输入,δpk∈ℝ3,δpk,"δxp,k=δθkδpk∈ℝ6,",2.2.2 S101：数据同步、去畸变与有效对应筛选,oMath,3691,1b6f7835258649cab80018541c68bed4b40d4596ece18f57ebcdfce1d133d34e,FORMULA_PARSE_PARTIAL
M012,P065,2.2.2 S101：数据同步、去畸变与有效对应筛选,i,i,2.2.2 S101：数据同步、去畸变与有效对应筛选,"pi,kI=RILpi,kL+tIL.",oMath,1386,9275aacf382ecf1978e601cc45de832dc85a34726f4bc590f046cfdaba1ff4d9,FORMULA_PARSE_PARTIAL
M013,P066,2.2.2 S101：数据同步、去畸变与有效对应筛选,"pi,kI=RILpi,kL+tIL.",RILpi;kI;kL;pi;tIL,系统对激光点云和惯性数据进行时间同步，并利用基础激光惯性估计器的惯性传播结果对当前帧点云进行去畸变。将第 i 个激光点由激光雷达坐标系转换到惯性测量单元坐标系：,随后在局部地图中搜索对应平面。优选地，仅保留满足距离阈值、法向一致性、局部平面拟合质量和量测范围要求的对应。若有效对应数量小于预设下限 mmin，则输出“残差不足”质量标志，并将方向可执行状…,oMath,7633,52380076c6e3ebba14f4b64c0aa665af94da688ba4b17b3d36b4e7b5712e1b5b,FORMULA_PARSE_PARTIAL
M014,P067,2.2.2 S101：数据同步、去畸变与有效对应筛选,mmin,mmin,"pi,kI=RILpi,kL+tIL.",2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,oMath,2227,1f0cb98879132d693b09ff2aa13b8018800c5b4c5f897d7677ce41117f9403db,FORMULA_PARSE_PARTIAL
M015,P069,2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,i,i,2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,"ri,k0=ni,kTRk−pi,kI+tk−−qi,k.",oMath,1386,9275aacf382ecf1978e601cc45de832dc85a34726f4bc590f046cfdaba1ff4d9,FORMULA_PARSE_PARTIAL
M016,P070,2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,"ri,k0=ni,kTRk−pi,kI+tk−−qi,k.",k;kI;kTRk;ni;pi;qi;ri;tk,第 i 个点到平面残差在当前位姿先验处定义为：,对六自由度位姿扰动进行一次线性化：,oMath,12462,3bd9c0bfb0120b420342ed1c1178e72e1298868f35a1ce6caaf68ff1b2739ca5,FORMULA_PARSE_PARTIAL
M017,P072,2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,"ri,k≈ri,k0+Ji,kδxp,k,",Ji;k;kδxp;ri,对六自由度位姿扰动进行一次线性化：,其中点到平面残差雅可比为：,oMath,8202,489177a31d10e3fbf0c17482bb08dfc22e1c870a1a3cd08c254654538042170a,FORMULA_PARSE_PARTIAL
M018,P074,2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,"Ji,k=ni,kT−Rk−pi,kI×ni,kT∈ℝ1×6.",Ji;Rk;k;kI;kT;ni;pi,其中点到平面残差雅可比为：,将 mk 个有效残差堆叠，得到：,oMath,15024,d5fc620190587b76c34f7292d1d81a265a0154b36eb0c933500b6a24754dcaf5,FORMULA_PARSE_PARTIAL
M019,P075,2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,mk,mk,"Ji,k=ni,kT−Rk−pi,kI×ni,kT∈ℝ1×6.","rk0=r1,k0⋯rmk,k0T, Jk=J1,kT⋯Jmk,kTT.",oMath,2200,541cf2c888e25aa23decf3f7205b1d72db60e5e1cad43c0f17277080c1d18361,FORMULA_PARSE_PARTIAL
M020,P076,2.2.3 S102：在当前位姿先验处构造点到平面残差与雅可比,"rk0=r1,k0⋯rmk,k0T,  Jk=J1,kT⋯Jmk,kTT.",J;Jk;Jmk;T;k;kT;kTT;r;rk;rmk,将 mk 个有效残差堆叠，得到：,本发明优选在当前位姿先验处逐帧重新计算残差和雅可比，不使用在真实位姿或离线标注轨迹处预生成的雅可比完成在线检测。,oMath,18740,667c4175682ce6066d9a264c9510a278064e7a63b8177ce60551ac9fc186f2bc,FORMULA_PARSE_PARTIAL
M021,P079,2.2.4 S103：残差噪声白化与鲁棒等效权重,i,i,2.2.4 S103：残差噪声白化与鲁棒等效权重,"zi,k=ri,k0σi,k,",oMath,1386,9275aacf382ecf1978e601cc45de832dc85a34726f4bc590f046cfdaba1ff4d9,FORMULA_PARSE_PARTIAL
M022,P079,2.2.4 S103：残差噪声白化与鲁棒等效权重,"σi,k2>0",k;σi,2.2.4 S103：残差噪声白化与鲁棒等效权重,"zi,k=ri,k0σi,k,",oMath,3441,d88b4c7ae9456f7fdfe5ee2afb5660ffdafead75dd678699a99325b79c3f292d,FORMULA_PARSE_PARTIAL
M023,P080,2.2.4 S103：残差噪声白化与鲁棒等效权重,"zi,k=ri,k0σi,k,",k;ri;zi;σi,"设第 i 个残差方差为 σi,k2>0。可根据测距噪声、平面拟合协方差、入射角或距离确定该方差。为降低错误匹配对信息矩阵的影响，可采用 Huber 或其他鲁棒核。以 Huber 核为例，标准…",鲁棒权重为：,oMath,6922,4350a9e3db8eb8b232168fc454cd0859e00b8fe1d488e968b89f34034bf94042,FORMULA_PARSE_PARTIAL
M024,P082,2.2.4 S103：残差噪声白化与鲁棒等效权重,"ωi,k=1,zi,k≤δH,δHzi,k,zi,k>δH,",k;zi;δH;δHzi;ωi,鲁棒权重为：,其中 δH>0 为鲁棒阈值。定义等效信息权重：,oMath,15274,7c6d1b20750854b104af200486bd9742451599d95987b3dbf1c98d9f22300dc6,FORMULA_PARSE_PARTIAL
M025,P083,2.2.4 S103：残差噪声白化与鲁棒等效权重,δH>0,δH,"ωi,k=1,zi,k≤δH,δHzi,k,zi,k>δH,","γi,k=ωi,kσi,k2, Γk=diagγ1,k,…,γmk,k.",oMath,2619,2087f19838cf79302911374acdd29345d5191768d0485b997a6ed5d497f26d5e,FORMULA_PARSE_PARTIAL
M026,P084,2.2.4 S103：残差噪声白化与鲁棒等效权重,"γi,k=ωi,kσi,k2,  Γk=diagγ1,k,…,γmk,k.",diagγ;k;kσi;Γk;γi;γmk;ωi,其中 δH>0 为鲁棒阈值。定义等效信息权重：,"未采用鲁棒核时令 ωi,k=1。本发明不限定具体鲁棒核，只要求等效权重为有限非负值，并在构造信息矩阵时对所有方法保持一致。",oMath,12918,16c56e3beaf5aa2f56f11db5b16ea71f84c98f1fc5cbd538e5831cf02004a5b9,FORMULA_PARSE_PARTIAL
M027,P085,2.2.4 S103：残差噪声白化与鲁棒等效权重,"ωi,k=1",k;ωi,"γi,k=ωi,kσi,k2, Γk=diagγ1,k,…,γmk,k.",2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,oMath,3031,a924ccd50e6d4643006b3208215a33283e87d73e8f051dd60511e1b4f892a3c8,FORMULA_PARSE_PARTIAL
M028,P087,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,Dk,Dk,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,"δxp,k=Dkξk.",oMath,2225,55e74ffb232f65380aa2f7fa083f2a06150a9172c0960fe7e0603e372857565b,FORMULA_PARSE_PARTIAL
M029,P087,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,ξk,ξk,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,"δxp,k=Dkξk.",oMath,2226,0cb5415daf94f5357562c0cacfa1354ab1466c15a5f96ab4bc16d223e464800e,FORMULA_PARSE_PARTIAL
M030,P088,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,"δxp,k=Dkξk.",Dkξk;k;δxp,为减小旋转和平移量纲差异，本发明引入状态尺度矩阵 Dk，使物理位姿扰动与无量纲或统一尺度坐标 ξk 满足：,优选地，状态尺度矩阵取：,oMath,5345,1e2b96815385b2777029a595f260511426542e1ab0d3fb2426c007565d20b05c,FORMULA_PARSE_PARTIAL
M031,P090,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,"Dk=diagsθ,kI3, sp,kI3,",Dk;diagsθ;kI;sp,优选地，状态尺度矩阵取：,"其中 sθ,k>0 为旋转特征尺度，sp,k>0 为平移特征尺度。两者可为固定部署参数，也可由先验协方差的边缘标准差、传感器标定结果或场景尺度确定。",oMath,8430,56eaf0869ed42bcf26e8d163c57992db2b5348b34a989583bc33468778b91ec8,FORMULA_PARSE_PARTIAL
M032,P091,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,"sθ,k>0",k;sθ,"Dk=diagsθ,kI3, sp,kI3,",六自由度白化位姿信息矩阵定义为：,oMath,3034,c3659e41dab566a1324f2b3a70825e4fde4acc888a57a3a2c5651aff64925b99,FORMULA_PARSE_PARTIAL
M033,P091,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,"sp,k>0",k;sp,"Dk=diagsθ,kI3, sp,kI3,",六自由度白化位姿信息矩阵定义为：,oMath,3033,470b8fe7791beaa1810c5a3f55b6f55d19cbfeef71958f914c6e6ecbfc2fd450,FORMULA_PARSE_PARTIAL
M034,P093,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,Hk=JkDkTΓkJkDk∈ℝ6×6.,Hk;JkDkTΓkJkDk,六自由度白化位姿信息矩阵定义为：,为抑制浮点误差，优选执行对称化：,oMath,11658,dfe3eccd6c2c42992506c797131e5281ba616f5dae037c45ba136e1a0e3796c4,FORMULA_PARSE_PARTIAL
M035,P095,2.2.5 S104：状态尺度归一化与六自由度白化位姿信息矩阵,Hk←12Hk+HkT.,Hk;HkT,为抑制浮点误差，优选执行对称化：,对称化后检查有限值和半正定性；仅允许将数值舍入造成的极小负特征值截断为零，不允许通过任意修改特征值制造检测结果。,oMath,8126,60e0bd4e3278eb81d397b4b952642c350cd4178d54143a61d718932e23ef1d6b,FORMULA_PARSE_PARTIAL
M036,P099,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,"Hk=Hθθ,kHθp,kHpθ,kHpp,k,",Hk;Hθθ;k;kHpp;kHpθ;kHθp,将六自由度白化位姿信息矩阵按旋转和平移分块：,"其中各子块均为 3×3 矩阵，且 Hpθ,k=Hθp,kT。",oMath,10504,226eef64e2ea51a93caadd2af85f6c5718943b655b258ce22451bb6664595275,FORMULA_PARSE_PARTIAL
M037,P100,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,3×3,,"Hk=Hθθ,kHθp,kHpθ,kHpp,k,",为在旋转块近奇异时保持数值稳定，定义旋转块阻尼：,oMath,1802,5fc2cbbb514a9c384b6517d0788fa56fed0710d9f35916a78ec95499e524f6a6,FORMULA_PARSE_PARTIAL
M038,P100,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,"Hpθ,k=Hθp,kT",Hpθ;Hθp;k;kT,"Hk=Hθθ,kHθp,kHpθ,kHpp,k,",为在旋转块近奇异时保持数值稳定，定义旋转块阻尼：,oMath,4754,38f5dd71d701598b20b973df28fe194d5bbfbbe92f804ff8fc0d2b1f01d0ffd2,FORMULA_PARSE_PARTIAL
M039,P102,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,"μk=ρμ maxmaxdiagHθθ,k, 13trHθθ,k, 1,",k;maxmaxdiagHθθ;trHθθ;μk;ρμ,为在旋转块近奇异时保持数值稳定，定义旋转块阻尼：,其中 ρμ>0 为小阻尼比例。三维平移原始 Schur 信息矩阵为：,oMath,10581,3c8153b1d09e5e6c2046b126c34056812699aa082ec4398d7282dca8ef668594,FORMULA_PARSE_PARTIAL
M040,P103,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,ρμ>0,ρμ,"μk=ρμ maxmaxdiagHθθ,k, 13trHθθ,k, 1,","Ht,kraw=Hpp,k−Hpθ,kHθθ,k+μkI3−1Hθp,k.",oMath,2620,4d0f2e0edb532a67b1e0a8fd1bd6d8eaa72884e77b7da250ba155779bfef9f29,FORMULA_PARSE_PARTIAL
M041,P104,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,"Ht,kraw=Hpp,k−Hpθ,kHθθ,k+μkI3−1Hθp,k.",Hpp;Hpθ;Ht;Hθp;k;kHθθ;kraw;μkI,其中 ρμ>0 为小阻尼比例。三维平移原始 Schur 信息矩阵为：,"该处理相当于在线性高斯近似下边缘化旋转扰动后保留平移变量的信息。与直接截取 Hpp,k 或直接使用六维最小特征向量相比，Schur 信息矩阵显式考虑旋转—平移交叉项，可减少旋转弱约束对平移方…",oMath,13267,5f4173ffd5108767015ad42ed4d9a8d46d48d6c7fb5097a834bac8fb2812f025,FORMULA_PARSE_PARTIAL
M042,P105,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,"Hpp,k",Hpp;k,"Ht,kraw=Hpp,k−Hpθ,kHθθ,k+μkI3−1Hθp,k.","优选地，对 Ht,kraw 再次对称化并检查半正定性。若出现超过数值容差的负特征值，则输出“信息矩阵无效”标志，并禁止输出可执行方向。",oMath,2641,0c0f84a8144aecac85dcc8b7824c4aacf322a2306fe174fded9b10222db3ac1e,FORMULA_PARSE_PARTIAL
M043,P106,2.2.6 S105：通过 Schur 补获得三维平移边缘信息矩阵,"Ht,kraw",Ht;kraw,"该处理相当于在线性高斯近似下边缘化旋转扰动后保留平移变量的信息。与直接截取 Hpp,k 或直接使用六维最小特征向量相比，Schur 信息矩阵显式考虑旋转—平移交叉项，可减少旋转弱约束对平移方…",2.2.7 S106：有效样本数归一化,oMath,3074,cc66861bf0db6f3ce533899ef1a1225d8a97d454aaaacb4fea63385b88937c03,FORMULA_PARSE_PARTIAL
M044,P109,2.2.7 S106：有效样本数归一化,"Neff,k=i=1mkγi,k2i=1mkγi,k2.",Neff;i;k;mkγi,为减小不同帧残差数量和权重分布对谱尺度的影响，可根据等效信息权重计算有效样本数：,归一化平移信息矩阵定义为：,oMath,12940,a1dbd76e3ae9c5f7d5837599ce420ebeeeb7d3b38ad05750c8a3eb8ced5a8b96,FORMULA_PARSE_PARTIAL
M045,P111,2.2.7 S106：有效样本数归一化,"Ht,k=Ht,krawNeff,k.",Ht;k;krawNeff,归一化平移信息矩阵定义为：,"当所有残差权重相同，Neff,k=mk；当少数残差占据主要权重时，有效样本数相应减小。归一化矩阵用于跨帧谱形状比较；原始矩阵 Ht,kraw 可同时保留，用于计算原始绝对方向信息。若应用场景…",oMath,6806,b04c4f72e926d5cfdc2d8fc3bdcd9c9c2c1e861feeb1d2c469bc27db53d5168e,FORMULA_PARSE_PARTIAL
M046,P112,2.2.7 S106：有效样本数归一化,"Neff,k=mk",Neff;k;mk,"Ht,k=Ht,krawNeff,k.",2.2.8 S106：平移信息谱分解与数值正则项,oMath,3652,e21b41baa21c0953796924a2cf6f9339bec0f07f2095ee8dff5046542448ff01,FORMULA_PARSE_PARTIAL
M047,P112,2.2.7 S106：有效样本数归一化,"Ht,kraw",Ht;kraw,"Ht,k=Ht,krawNeff,k.",2.2.8 S106：平移信息谱分解与数值正则项,oMath,3074,cc66861bf0db6f3ce533899ef1a1225d8a97d454aaaacb4fea63385b88937c03,FORMULA_PARSE_PARTIAL
M048,P115,2.2.8 S106：平移信息谱分解与数值正则项,"Ht,k=UkΛkUkT,",Ht;UkΛkUkT;k,对归一化平移信息矩阵进行特征分解：,其中：,oMath,6624,b7886b4f830a95ce67bf29de111dbcce6fd131ef471c66be15430ed4effe0ac2,FORMULA_PARSE_PARTIAL
M049,P117,2.2.8 S106：平移信息谱分解与数值正则项,"Λk=diagλ1,k,λ2,k,λ3,k,  λ1,k≥λ2,k≥λ3,k≥0,",diagλ;k;Λk;λ,其中：,并记：,oMath,13368,a6f268134ebdcd7e1e08a997a7cf9b5980e9658c29640f8b31658d9447378092,FORMULA_PARSE_PARTIAL
M050,P119,2.2.8 S106：平移信息谱分解与数值正则项,"Uk=u1,ku2,ku3,k.",Uk;k;ku;u,并记：,为避免零特征值导致对数或除法异常，定义谱正则项：,oMath,8404,0e20ac4c9f61d5249d831f43e56e0fbb06423cf7e049fb552fe32b5ed7cef588,FORMULA_PARSE_PARTIAL
M051,P121,2.2.8 S106：平移信息谱分解与数值正则项,"εk=maxεrtrHt,k3, εa,",k;maxεrtrHt;εa;εk,为避免零特征值导致对数或除法异常，定义谱正则项：,其中 εr>0 为相对正则比例，εa>0 为绝对下限。正则项仅用于数值稳定，不改变特征向量，也不用于人为抬高退化性能。,oMath,8453,a22958dc612f6db4cc57680aa0832b87462f3dd807f6402bd120085628d2e811,FORMULA_PARSE_PARTIAL
M052,P122,2.2.8 S106：平移信息谱分解与数值正则项,εr>0,εr,"εk=maxεrtrHt,k3, εa,",2.2.9 S107：平移可观性退化指数 ODItrans,oMath,2619,6f67d0d603b8a4259002ee5cf6f27ef7f593bc1cdbe2be913f93b3b1326144c3,FORMULA_PARSE_PARTIAL
M053,P122,2.2.8 S106：平移信息谱分解与数值正则项,εa>0,εa,"εk=maxεrtrHt,k3, εa,",2.2.9 S107：平移可观性退化指数 ODItrans,oMath,2619,2c5501f96f5077a3da57a8ccd9951faffc59c7153989131cec6441cf7913f485,FORMULA_PARSE_PARTIAL
M054,P123,2.2.9 S107：平移可观性退化指数 ODItrans,ODItrans,ODItrans,其中 εr>0 为相对正则比例，εa>0 为绝对下限。正则项仅用于数值稳定，不改变特征向量，也不用于人为抬高退化性能。,将平移信息特征值归一化为概率形式：,oMath,2256,003cf648e4ff2df6051d545eb8f6fe5c729acfaa56fb24fe9d930d3967a7d880,FORMULA_PARSE_PARTIAL
M055,P125,2.2.9 S107：平移可观性退化指数 ODItrans,"pi,k=λi,k+εkj=13λj,k+εk,  i=1,2,3.",i;k;pi;εk;εkj;λi;λj,将平移信息特征值归一化为概率形式：,定义平移谱有效秩：,oMath,12739,6e8439b13e1122edfce25e80d934af5e44ea41ceff137e1a2dbe8439a03ce804,FORMULA_PARSE_PARTIAL
M056,P127,2.2.9 S107：平移可观性退化指数 ODItrans,"reff,k=exp−i=13pi,klnpi,k.",exp;i;k;klnpi;pi;reff,定义平移谱有效秩：,进而定义平移可观性退化指数：,oMath,8254,e918bc3b020bdd9534dd29a2a5b3f376a24d95c290c7f6428c679558d4aa9c04,FORMULA_PARSE_PARTIAL
M057,P129,2.2.9 S107：平移可观性退化指数 ODItrans,"ODItrans,k=1−reff,k−13−1.",ODItrans;k;reff,进而定义平移可观性退化指数：,"ODItrans,k 的理论取值范围为 0,1。当三个特征值接近时，谱分布接近均匀，reff,k 接近 3，退化指数接近 0；当信息主要集中在少数方向时，有效秩降低，退化指数增大。该指标描述…",oMath,6181,09d2d1eb354e81529ca858bafe350b5181d19fd7c08a1def522c336af1a8feba,FORMULA_PARSE_PARTIAL
M058,P130,2.2.9 S107：平移可观性退化指数 ODItrans,"ODItrans,k",ODItrans;k,"ODItrans,k=1−reff,k−13−1.",2.2.10 S107：绝对信息强度、最小特征值及条件数,oMath,2452,6e73b92df09f7761da1f8a3f34a8876c2b023d2fc3daf69f035e95fde001a8cc,FORMULA_PARSE_PARTIAL
M059,P130,2.2.9 S107：平移可观性退化指数 ODItrans,"0,1",,"ODItrans,k=1−reff,k−13−1.",2.2.10 S107：绝对信息强度、最小特征值及条件数,oMath,2270,24dd18f41bd118cd1e316500e28fdeda9a1e3a8b92e8989f2152c6b5d70a6d62,FORMULA_PARSE_PARTIAL
M060,P130,2.2.9 S107：平移可观性退化指数 ODItrans,"reff,k",k;reff,"ODItrans,k=1−reff,k−13−1.",2.2.10 S107：绝对信息强度、最小特征值及条件数,oMath,2423,4ed09dd6fb56438a0f3a0f8544eadf9260b59caf7aa7143445d09a1308e59893,FORMULA_PARSE_PARTIAL
M061,P134,2.2.10 S107：绝对信息强度、最小特征值及条件数,"AISt,k=13lndetHt,k+εkI3=13i=13lnλi,k+εk.",AISt;i;k;lndetHt;lnλi;εk;εkI,归一化平移绝对信息强度：,最小平移信息特征值：,oMath,14641,0911cf8dc1d094c1669b5b932a82ee4f07c4dfad165e46935790cdb7dea84197,FORMULA_PARSE_PARTIAL
M062,P136,2.2.10 S107：绝对信息强度、最小特征值及条件数,"λmin,k=λ3,k.",k;λ;λmin,最小平移信息特征值：,安全条件数：,oMath,4289,58c8236af4cdf04dd3d25579e6a7d56aa90f178f33bd9f9724fbb383d01edcb5,FORMULA_PARSE_PARTIAL
M063,P138,2.2.10 S107：绝对信息强度、最小特征值及条件数,"κt,k=λ1,kmaxλ3,k,εk.",k;kmaxλ;εk;κt;λ,安全条件数：,"其中，AISt,k 用于描述总体信息强度，λmin,k 用于描述最弱方向的绝对信息，κt,k 用于兼容传统条件数诊断。上述指标可与 ODItrans,k 一起输出，但优选不以任一单独辅助指标…",oMath,8396,ed6f07cd82935df11b54c44eeb6fb29b360883cf1e56ab4543c73fb6a229ae35,FORMULA_PARSE_PARTIAL
M064,P139,2.2.10 S107：绝对信息强度、最小特征值及条件数,"AISt,k",AISt;k,"κt,k=λ1,kmaxλ3,k,εk.",2.2.11 S108：主要弱平移方向识别,oMath,2642,966a3f10df00ef6f6bb2abb2051bb2586f4bebfa68d3c3fdb29fa124e02cf3c4,FORMULA_PARSE_PARTIAL
M065,P139,2.2.10 S107：绝对信息强度、最小特征值及条件数,"λmin,k",k;λmin,"κt,k=λ1,kmaxλ3,k,εk.",2.2.11 S108：主要弱平移方向识别,oMath,2424,b95acbd1fee2496d51c8d4bf6cab170a4729225c75c54a4c2b5e3f189b762cb2,FORMULA_PARSE_PARTIAL
M066,P139,2.2.10 S107：绝对信息强度、最小特征值及条件数,"κt,k",k;κt,"κt,k=λ1,kmaxλ3,k,εk.",2.2.11 S108：主要弱平移方向识别,oMath,2616,05d7f70679b6d1f89f0505baf3a8a1e160123f91eee8d31a7fae4dc4a3dac1c8,FORMULA_PARSE_PARTIAL
M067,P139,2.2.10 S107：绝对信息强度、最小特征值及条件数,"ODItrans,k",ODItrans;k,"κt,k=λ1,kmaxλ3,k,εk.",2.2.11 S108：主要弱平移方向识别,oMath,2452,6e73b92df09f7761da1f8a3f34a8876c2b023d2fc3daf69f035e95fde001a8cc,FORMULA_PARSE_PARTIAL
M068,P141,2.2.11 S108：主要弱平移方向识别,"λ3,k",k;λ,2.2.11 S108：主要弱平移方向识别,"uw,k=u3,k, ∥uw,k∥2=1.",oMath,2616,dc7cf40a700565bfd985814b37746608cea8522c1cc03a3dd5e8b8f982826f7b,FORMULA_PARSE_PARTIAL
M069,P141,2.2.11 S108：主要弱平移方向识别,"u3,k",k;u,2.2.11 S108：主要弱平移方向识别,"uw,k=u3,k, ∥uw,k∥2=1.",oMath,2640,770ec9e771380b280c179da175eb97266e4d0b9b2268ae28b0dabb3a32fcf3ae,FORMULA_PARSE_PARTIAL
M070,P142,2.2.11 S108：主要弱平移方向识别,"uw,k=u3,k,  ∥uw,k∥2=1.",k;u;uw,"由于特征值按降序排列，最小特征值 λ3,k 对应的单位特征向量 u3,k 被确定为当前帧的主要弱平移方向：","特征向量的正负号不影响其表示的轴向，因此主要弱方向本质上为无向轴 {uw,k,−uw,k}。为便于存储和跨帧比较，可选择绝对值最大的分量并统一其符号：",oMath,8071,654b637661ac76e2cb1681818dfa7258f9301b0903611c1ed6407dd07dfbffb8,FORMULA_PARSE_PARTIAL
